screening_id,pmid,title,abstract,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes,final_core_status,strict_final_status,endothelium_relevance_score,endothelium_relevance_terms,recommended_action,strict_endothelium_decision,strict_endothelium_reason,epithelium_limbus_relevance_score,epithelium_limbus_relevance_terms,strict_epithelium_limbus_decision,strict_epithelium_limbus_reason,top_tier_score,top_tier_reason,top_tier_decision,refined_top_tier_decision,refined_top_tier_reason,strict_retrieval_score,strict_retrieval_reason,has_clinical,has_in_vivo,has_ex_vivo,has_material,has_benchmark,has_reconstruction,strict_retrieval_group,original_corneal_layer,layer_correction_status,layer_correction_basis,audit_inferred_layer
PUBMED_0049,29637812,Preserving Basement Membranes during Detachment of Cultivated Oral Mucosal Epithelial Cell Sheets for the Treatment of Total Bilateral Limbal Stem Cell Deficiency.,"Total bilateral limbal stem cell deficiency leading to loss of corneal clarity, potential vision loss, pain, photophobia, and keratoplasty failure cannot be treated by autologous limbal transplantation, and allogeneic limbal transplantation requires subsequent immunosuppressive treatment. Cultured autologous oral mucosal epithelial cells have been shown to be safe and effective alternatives. These cells can be transplanted on supports or without support after detachment from the culture dishes. Dispase, known for epidermal sheet detachment, is reported as not usable for oral mucosa. The objective was to find an optimized detachment method providing a sufficiently resistant and adhesive cultured oral mucosal epithelium (COME), which can be grafted without sutures. Enzymatic treatments (dispase or collagenase at different concentrations) were compared to enzyme-free mechanical detachment. Histological immunofluorescence (IF) and Western blotting (WB) were used to examine the impact on adhesion markers (laminin-332, β1-integrin, and type VII collagen) and junctional markers (E-cadherin, P-cadherin). Finally, the COME ability to adhere to the cornea and produce a differentiated epithelium 15 d after grafting onto an ex vivo porcine stroma model were investigated by histology, IF, and transmission electron microscopy. Collagenase at 0.5 mg/mL and dispase at 5 mg/mL were selected for comparative study on adhesive expression marker by IF and WB showed that levels of basement membrane proteins and cell-cell and cell-matrix junction proteins were not significantly different between the 3 detachment methods. Collagenase 0.5 mg/mL was selected for the next step validation because of the better reproducibility, 100% success (vs. 33% with dispase 5 mg/mL). Grafted onto porcine de-epithelialized corneal stroma, collagenase 0.5 mg/mL detached COME were found to adhere, stratify, and continue to ensure renewal of the epithelium. For COME, collagenase 0.5 mg/mL enzymatic detachment was selected and validated on its resistance and adhesive marker expression as well as their anchorage onto our new ex vivo de-epithelialized stroma model.",2018,Cell transplantation,10.1177/0963689717741140,A3_epithelium_limbus;B3_stroma,2,Include,,epithelium_limbus,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,19,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,yes,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
PUBMED_0387,33542377,A decellularized human corneal scaffold for anterior corneal surface reconstruction.,"Allogenic transplants of the cornea are prone to rejection, especially in repetitive transplantation and in scarred or highly vascularized recipient sites. Patients with these ailments would particularly benefit from the possibility to use non-immunogenic decellularized tissue scaffolds for transplantation, which may be repopulated by host cells in situ or in vitro. So, the aim of this study was to develop a fast and efficient decellularization method for creating a human corneal extracellular matrix scaffold suitable for repopulation with human cells from the corneal limbus. To decellularize human donor corneas, sodium deoxycholate, deoxyribonuclease I, and dextran were assessed to remove cells and nuclei and to control tissue swelling, respectively. We evaluated the decellularization effects on the ultrastructure, optical, mechanical, and biological properties of the human cornea. Scaffold recellularization was studied using primary human limbal epithelial cells, stromal cells, and melanocytes in vitro and a lamellar transplantation approach ex vivo. Our data strongly suggest that this approach allowed the effective removal of cellular and nuclear material in a very short period of time while preserving extracellular matrix proteins, glycosaminoglycans, tissue structure, and optical transmission properties. In vitro recellularization demonstrated good biocompatibility of the decellularized human cornea and ex vivo transplantation revealed complete epithelialization and stromal repopulation from the host tissue. Thus, the generated decellularized human corneal scaffold could be a promising biological material for anterior corneal reconstruction in the treatment of corneal defects.",2021,Scientific reports,10.1038/s41598-021-82678-3,A3_epithelium_limbus;B3_stroma,2,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,19,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,yes,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
PUBMED_0073,29978836,Decellularized corneal lenticule embedded compressed collagen: toward a suturable collagenous construct for limbal reconstruction.,"Recently, compressed collagen has attracted much attention as a potential alternative for a limbal epithelial stem cell (LESC) carrier to treat limbal stem cell deficiency (LSCD), in that it can provide mechanically improved collagen fibrillar structures compared to conventional collagen hydrogel. However, its clinical efficacy as an LESC carrier has not yet been studied through in vivo transplantation due to limited mechanical strength that cannot withstand a force induced by surgical suturing and low resistance to enzymatic degradation. This study firstly presents a suturable LESC carrier based on compressed collagen in the form of a biocomposite. The biocomposite was achieved by integrating a decellularized corneal lenticule, which is a decellularized stromal tissue obtained from corneal refractive surgery, inside a compressed collagen to form a sandwich structure. A suture retention test verified that the biocomposite has a much higher suture retention strength (0.56 ± 0.12 N) compared to the compressed collagen (0.02 ± 0.01 N). The biocomposite also exhibited more than 3 times higher resistance to enzymatic degradation, indicating long-term stability after transplantation. In vitro cell culture results revealed that the biocomposite effectively supported the expansion and stratification of the LESCs with expressions of putative stem cell and differentiated corneal epithelial cell markers. Finally, the biocomposite verified its clinical efficacy by stably delivering the LESCs onto an eye of a rabbit model of LSCD and effectively reconstructing the ocular surface.",2018,Biofabrication,10.1088/1758-5090/aad1a4,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
PUBMED_0395,33603277,Simultaneous Interpenetrating Polymer Network of Collagen and Hyaluronic Acid as an In Situ-Forming Corneal Defect Filler.,"Timely treatment of corneal injuries injury can help to prevent corneal scarring, blindness, and the need for corneal transplantation. This work describes a novel hydrogel that can fill corneal defects and assist in corneal regeneration. This hydrogel is a simultaneous interpenetrating polymer network (IPN) composed of collagen cross-linked via strain-promoted azide-alkyne cycloaddition reaction and hyaluronic acid cross-linked via thiol-ene Michael click reaction. The formation of the IPN gel was confirmed via FTIR spectra, UV-vis spectra, and morphological changes. We compared the gelation time, mechanical properties, transmittance, and refractive index of the IPN gel to the collagen gel, hyaluronic acid gel, and semi-IPN gel. The IPN combined the advantages of collagen and hyaluronic acid gels and supported corneal epithelial cell growth on its surface. When applied to corneal stromal defects in vivo, the IPN avoided epithelial hyperplasia, decreased stromal myofibroblast formation, and increased tight junction formation in the regenerated epithelium.",2020,Chemistry of materials : a publication of the American Chemical Society,10.1021/acs.chemmater.0c01307,A3_epithelium_limbus;B3_stroma,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
PUBMED_0453,34400306,Hydrogels derived from acellular porcine corneal stroma enhance corneal wound healing.,"Acellular cornea derived hydrogels provide significant advantages in preserving native corneal stromal keratocyte cells and endothelial cells. However, for clinical application, hydrogel physical properties need to be improved, and their role in corneal epithelial wound healing requires further investigation. In this study, an acellular porcine corneal stroma (APCS) hydrogel (APCS-gel) was successfully prepared from 20 mg/ml APCS, demonstrated optimal light transmittance and gelation kinetic properties and retained critical corneal ECM of collagens and growth factors. Compared with fibrin gel, the APCS-gel had a higher porosity ratio and faster nutrition diffusion with an accompanying improvement in the proliferation of primary rabbit corneal epithelial cells (RCECs) and stromal cells (RCSCs). These corneal cell types also displayed improved viability and cellular infiltration. Furthermore, the APCS-gel provides significant advantages in the preservation of RCECs stemness and enhancement of corneal wound healing in vitro and in vivo. After 7 days of culture, 3-4 layers of RCECs were formed on the APCS-gel in vitro, while only 1-2 layers were found on the fibrin gel. More corneal stem/progenitor cell phenotypes (K12-, p63+, ABCG2+) and proliferation phenotypes (Ki67+) were detected on the APCS-gel than fibrin gel. Using a corneal epithelial wound healing model, we also found faster reepithelization in corneas that received APCS-gel compared to fibrin gel. Additionally, our APCS-gel demonstrated better physical and biological properties when compared to Tisseel, a clinically used type of fibrin gel. In conclusion, our APCS-gel provided better corneal epithelial and stromal cell biocompatibility to fibrin gels and due to its transparency and faster gelation time could potentially be superior for clinical purposes. STATEMENT OF SIGNIFICANCE: Extracellular matrix (ECM) can be used to provide tissue specific physical microstructure and biochemical cues for tissue regeneration. Here, we produced an ECM hydrogel derived from acellular porcine cornea stroma (APCS-gel) that retained critical biological characteristics of the native tissue and provided significant transparency and fast gelation time. Our data demonstrated that the APCS-gel was superior to clinically used fibrin gel, as the APCS-gel showed high porosity and permeability, better corneal stromal keratocytes infiltration, increased cellular proliferation and retention of corneal epithelial cells stemness. The APCS-gel improved corneal wound healing in vitro and in vivo. This APCS-gel may have clinical utility for corneal diseases, and the more general approach used to make this hydrogel might be used in other tissues.",2021,Acta biomaterialia,10.1016/j.actbio.2021.08.011,A3_epithelium_limbus;B3_stroma,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
PUBMED_0560,35769102,Electron-Beam Irradiated Recombinant Human Collagen-Phosphorylcholine Corneal Implants Retain Pro-Regeneration Capacity.,"Sterilization of biodegradable, collagen-based implants is challenging as irradiation sterilization methods can alter their mechanical properties. Electron beam (EB) irradiation is a terminal sterilization method that has been used for biologically-derived implants. Here, recombinant human collagen type III-phosphorylcholine (RHCIII-MPC) hydrogels were irradiated with EB doses of 17, 19, or 21 kGy and their subsequent biocompatibility and ability to promote regeneration in rabbit corneas was evaluated. Unirradiated hydrogels stored in 1% chloroform in phosphate-buffered saline (C-PBS) were the controls. There were no significant differences between irradiated and non-irradiated samples in optical or physical properties (tensile strength, modulus, elasticity), or the ability to support cell growth. However, irradiated implants were more sensitive to high levels of collagenase than unirradiated controls and the C-PBS implants had increased cell growth compared to EB and controls at 72 h. Corneal implants e-beamed at 17 kGy or e-beamed and subsequently frozen (EB-F) to increase shelf-life showed no adverse biological effects of the irradiation. EB, EB-F, and C-PBS implanted corneas all rapidly re-epithelialized but showed mild neovascularization that resolved over 6 months. The regenerated neo-corneas were transparent at 6 months post-operation. In vivo confocal microscopy confirmed normal morphology for the epithelium, stroma, sub-basal nerves and unoperated endothelium. Histology showed that all the regenerated corneas were morphologically similar to the normal. Immunohistochemistry indicated the presence of a differentiated corneal epithelium and functional tear film. In conclusion, the e-beamed corneal implants performed as well as non-irradiated control implants, resulting in fully regenerated neo-corneas with new nerves and without blood vessels or inflammation that may impede vision or corneal function. Therefore, a complete validation study to establish EB irradiation as an effective means for corneal implant sterilization prior to clinical application is necessary as a next step.",2022,Frontiers in bioengineering and biotechnology,10.3389/fbioe.2022.883977,A3_epithelium_limbus;B3_stroma,2,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core - unresolved manual check,Keep core - cautious,,,,,,,,,,,,,,,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
PUBMED_0582,36040708,Natural Dual-Crosslinking Bioadhesive Hydrogel for Corneal Regeneration in Large-Size Defects.,"Corneal injectable hydrogels represent a promising alternative to alleviate donor shortage and simplify traditional surgeries. However, most hydrogels focus on repairing focal corneal defects (≤3.5 mm) and leave many clinical requirements unmet. Herein, a novel ion-activated bioadhesive hydrogel (IonBAH) is designed and its long-term performance of repairing large corneal defects (6 mm) is evaluated in rabbits for 6 months. The IonBAH is a dual-network hydrogel composed of natural corneal extracellular matrix and peptide-modified alginate, which enables its desirable transparency and biocompatibility, tunable mechanics, and robust adhesion. Moreover, the IonBAH maintains the secretory phenotype of quiescent keratocytes, while preventing their myofibroblastic differentiation in vitro. Upon application in situ, it rapidly seals the 6 mm corneal defect and forms normal curvature through the coverage of a contact lens impregnated with calcium ions. During the 6 months follow-up, the IonBAH promotes rapid regeneration of corneal epithelium, stroma, and nerves with restored transparency, equivalent to the outcome of donor corneal transplantation. In addition, the suitability of IonBAH as an adhesive and patch for various clinical requirements are also evaluated with a pleasing outcome. Collectively, IonBAH may provide a clinically applicable scaffold for corneal surgeries, especially in large defect repair.",2022,Advanced healthcare materials,10.1002/adhm.202201576,A3_epithelium_limbus;B3_stroma,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core - unresolved manual check,Keep core - cautious,,,,,,,,,,,,,,,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
PUBMED_0585,36063670,Reconstructing auto tissue engineering lamellar cornea with aspartic acid modified acellular porcine corneal stroma and preconditioned limbal stem cell for corneal regeneration.,"Tissue engineering cornea has shown great clinical potential for cornea reconstruction, but efficient recovery of natural structure and physiological function remains great challenges. In this study, the acellular porcine corneal stroma (APCS) was prepared by a phospholipase A(2) decellularization method and further crosslinked with aspartic acid (Asp). The modified APCS-Asp scaffold showed significant increase of hydration degree, ultrastructure regularity, corneal viscoelasticity and anti-degradation ability compared to APCS. Autologous rabbit limbal tissue was pre-treated by tumor necrosis factor-alpha (TNF-α) and collagenase IV, and the pretreated primary limbal stem cells (LSCs) were cultured with embryonic stem cells conditioned medium (ESCM), and LSCs showed 3D cell sphere structure and improved stem cell properties compared to the control group. The auto-tissue engineering lamellar cornea (ATELC) was quickly reconstructed by using peptide hydrogel with a dynamic culture system. With intact and functional epithelial cell layer, the reconstructed ATELC quickly recovered natural optical characteristics 1 week post transplantation in the rabbit lamellar keratoplasty model and satisfying neural regrowth as well as favorable stromal repopulation were observed in the transplanted eyes in the 6 months following up post-surgery. In summary, this study provides a comprehensive optimized reconstruction strategy for ATELC, which maybe similar medical application to natural cornea.",2022,Biomaterials,10.1016/j.biomaterials.2022.121745,A3_epithelium_limbus;B3_stroma,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
PUBMED_0620,36638943,An electrospun scaffold functionalized with a ROS-scavenging hydrogel stimulates ocular wound healing.,"Ocular alkali burn is a serious ophthalmic emergency. Highly penetrative alkalis cause strong inflammatory responses leading to persistent epithelial defects, acute corneal perforation and severe scarring, and thereby persistent pain, loss of vision and cicatricial sequelae. Early and effective anti-inflammation management is vital in reducing the severity of injury. In this study, a double network biomaterial was prepared by compounding electrospinning nanofibres of thioketal-containing polyurethane (PUTK) with a reactive oxygen species (ROS)-scavenging hydrogel (RH) fabricated by crosslinking poly(poly(ethylene glycol) methyl ether methacrylate-co-glycidyl methacrylate) with thioketal diamine and 3,3'-dithiobis(propionohydrazide). The developed PUTK/RH patch exhibited good transparency, high tensile strength and increased hydrophilicity. Most importantly, it demonstrated strong antioxidant activity against H(2)O(2) and 2,2-di(4-tert-octylphenyl)-1-picryl-hydrazyl (DPPH). Next, a rat corneal alkali burn model was established, and the PUTK/RH patch was transplanted on the injured cornea. Reduced inflammatory cell infiltration was revealed by confocal microscopy, and lower expression levels of genes relative to inflammation, vascularization and scarring were identified by qRT-PCR and western blot. Fluorescein sodium dyeing, hematoxylin and eosin (H&E) staining and immunohistochemical staining confirmed that the PUTK/RH patch could accelerate corneal wound healing by inhibiting inflammation, promoting epithelial regeneration and decreasing scar formation. STATEMENT OF SIGNIFICANCE: Ocular alkali burn is a serious ophthalmic emergency, characterized with persistent inflammation and irreversible vision loss. Oxidative stress is the main pathological process at the acute inflammatory stage, during which combined use of glucocorticoids and amniotic membrane transplantation is the most widely accepted treatment. In this study, we fabricated a polyurethane electrospun nanofiber membrane functionalized with a ROS-scavenging hydrogel. This composite patch could be a promising amniotic membrane substitute, possessing with a transparent appearance, elasticity and anti-inflammation effect. It could be easily transplanted onto the alkali-burned corneas, resulting in a significant inhibition of stromal inflammation and accelerating the recovery of corneal transparency. The conception of ROS-scavenging wound patch may offer a new way for ocular alkali burn.",2023,Acta biomaterialia,10.1016/j.actbio.2023.01.016,A3_epithelium_limbus;B3_stroma,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core - unresolved manual check,Keep core - cautious,,,,,,,,,,,,,,,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
PUBMED_0637,36844364,"A ""T.E.S.T."" hydrogel bioadhesive assisted by corneal cross-linking for in situ sutureless corneal repair.","Corneal transplantation is an effective clinical treatment for corneal diseases, which, however, is limited by donor corneas. It is of great clinical value to develop bioadhesive corneal patches with functions of ""Transparency"" and ""Epithelium & Stroma generation"", as well as ""Suturelessness"" and ""Toughness"". To simultaneously meet the ""T.E.S.T."" requirements, a light-curable hydrogel is designed based on methacryloylated gelatin (GelMA), Pluronic F127 diacrylate (F127DA) & Aldehyded Pluronic F127 (AF127) co-assembled bi-functional micelles and collagen type I (COL I), combined with clinically applied corneal cross-linking (CXL) technology for repairing damaged cornea. The patch formed after 5 min of ultraviolet irradiation possesses transparent, highly tough, and strongly bio-adhesive performance. Multiple cross-linking makes the patch withstand deformation near 600% and exhibit a burst pressure larger than 400 mmHg, significantly higher than normal intraocular pressure (10-21 mmHg). Besides, the slower degradation than GelMA-F127DA&AF127 hydrogel without COL I makes hydrogel patch stable on stromal beds in vivo, supporting the regrowth of corneal epithelium and stroma. The hydrogel patch can replace deep corneal stromal defects and well bio-integrate into the corneal tissue in rabbit models within 4 weeks, showing great potential in surgeries for keratoconus and other corneal diseases by combining with CXL.",2023,Bioactive materials,10.1016/j.bioactmat.2023.02.006,A3_epithelium_limbus;B3_stroma,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core - unresolved manual check,Keep core,,,,,,,,,,,,,,,16,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,multiple_layers,corrected,manual correction after first-batch layer-label audit,stroma
